Question ,Modal Answer,Marks,Student ID,Student�s Answer
What is the difference between a function prototype and a function definition?,"A function prototype includes the function signature, i.e., the name of the function, the return type, and the parameters' type. The function definition includes the actual body of the function.",5,[11],"A function definition is the code that defines the function placed in the {} brackets that determines that function's operation.<br><br>A function prototype shows the function's public interface without exposing implementation.  It shows name, return type and type of paramaters."
What is the difference between a function prototype and a function definition?,"A function prototype includes the function signature, i.e., the name of the function, the return type, and the parameters' type. The function definition includes the actual body of the function.",3.5,[17],"A function prototype is just a declaration of the function existing, and cant be used as an actual function. A function has to be created with a definition within to tell the compiler what the function does."
What is the difference between a function prototype and a function definition?,"A function prototype includes the function signature, i.e., the name of the function, the return type, and the parameters' type. The function definition includes the actual body of the function.",4.5,[7],the Prototype creates a framework to call the function definition. While a function definition is where the function is actually programmed out and created into a final product.
What is the difference between a function prototype and a function definition?,"A function prototype includes the function signature, i.e., the name of the function, the return type, and the parameters' type. The function definition includes the actual body of the function.",4.5,[10],A function prototype describes the class's public interface without providing how the function works.<br>A function definition contains the inner workings of the function.
What is the difference between a function prototype and a function definition?,"A function prototype includes the function signature, i.e., the name of the function, the return type, and the parameters' type. The function definition includes the actual body of the function.",3.5,[27],"prototype states all functions in that class before compilation, where the definition actually holds the source for the functions"
What is the difference between a function prototype and a function definition?,"A function prototype includes the function signature, i.e., the name of the function, the return type, and the parameters' type. The function definition includes the actual body of the function.",5,[25],"Function prototypes tell the compiler the function names, its return type, and the types of its parameters where as, function definitions actually implement the member functions."
What is the difference between a function prototype and a function definition?,"A function prototype includes the function signature, i.e., the name of the function, the return type, and the parameters' type. The function definition includes the actual body of the function.",4,[20],A function prototype just specifies parameters.  A function definition includes parameters and a code body.
What is the difference between a function prototype and a function definition?,"A function prototype includes the function signature, i.e., the name of the function, the return type, and the parameters' type. The function definition includes the actual body of the function.",4.5,[18],Function prototypes describe the class's public interface
What is the difference between a function prototype and a function definition?,"A function prototype includes the function signature, i.e., the name of the function, the return type, and the parameters' type. The function definition includes the actual body of the function.",4.5,[19],"A prototype only declares name, return type, and input type.<br>A definition also defines the scope, variables, process, and return function "
What is the difference between a function prototype and a function definition?,"A function prototype includes the function signature, i.e., the name of the function, the return type, and the parameters' type. The function definition includes the actual body of the function.",4,[30],"a function prototype simply declares the functions parameters, the function definition includes any necessary variables and the function's actual code"
What is the difference between a function prototype and a function definition?,"A function prototype includes the function signature, i.e., the name of the function, the return type, and the parameters' type. The function definition includes the actual body of the function.",3.5,[16],"A functgion prototype is a declaration of a function , while function definition specifies what a function does"
What is the difference between a function prototype and a function definition?,"A function prototype includes the function signature, i.e., the name of the function, the return type, and the parameters' type. The function definition includes the actual body of the function.",5,[26],"in a function prototype you include the return type, the name of the function, and its parameters if any are needed.<br><br>in a function definition you write the code of what the function will do. "
What is the difference between a function prototype and a function definition?,"A function prototype includes the function signature, i.e., the name of the function, the return type, and the parameters' type. The function definition includes the actual body of the function.",4.5,[1],"A function definition contains all the code for a function to work. A function prototype just shows the output, input and function name."
What is the difference between a function prototype and a function definition?,"A function prototype includes the function signature, i.e., the name of the function, the return type, and the parameters' type. The function definition includes the actual body of the function.",4.5,[28],"function prototype describe the class's public interface without revealing <br><br>the class's member function implementations,  function definitions show what <br><br>implementations are being done"
What is the difference between a function prototype and a function definition?,"A function prototype includes the function signature, i.e., the name of the function, the return type, and the parameters' type. The function definition includes the actual body of the function.",5,[15],"A function prototype only names the function, its return type, and it's argument list, while a definition defines the above as well as what the function actually does."
What is the difference between a function prototype and a function definition?,"A function prototype includes the function signature, i.e., the name of the function, the return type, and the parameters' type. The function definition includes the actual body of the function.",4.5,[14],function prototype describes a classes interface without reviling whatever is inside as for the function definition can't do that. <br>
What is the role of a header-file?,"To store a class interface, including data members and member function prototypes.",4.5,[6],the role of a header file list all the functions a class can do while hiding the inner workings of its functions<br>
What is the role of a header-file?,"To store a class interface, including data members and member function prototypes.",3,[5],The main role of header file is it is used to share information among various files.
What is the role of a header-file?,"To store a class interface, including data members and member function prototypes.",3.5,[8],Header files separate files in which classes are defined and allow the compiler to recognize classes when used elsewhere.
What is the role of a header-file?,"To store a class interface, including data members and member function prototypes.",0,[3],No
What is the role of a header-file?,"To store a class interface, including data members and member function prototypes.",3.5,[4],"A header file consists of ""reusable"" source code such as a class in a file that by convention has a .h filename extension. This differs from .cpp files that contain ""source-code."""
What is the role of a header-file?,"To store a class interface, including data members and member function prototypes.",4.5,[9],"To provide information about the contents of a library. It includes the definition of classes, declarations of functions, data types, and constants."
What is the role of a header-file?,"To store a class interface, including data members and member function prototypes.",4.5,[22],the header file shows the user what types go into and come out of a function but does not allow a user to manipulate the actual code for the function.
What is the role of a header-file?,"To store a class interface, including data members and member function prototypes.",3.5,[23],Header files declares the class member functions.
What is the role of a header-file?,"To store a class interface, including data members and member function prototypes.",4,[2],A header file allows for the separation of declaration and implementation into separate files. 
What is the role of a header-file?,"To store a class interface, including data members and member function prototypes.",1.5,[29],the header file has access to the C++ Standard Library and makes certain classes like class string work.
What is the role of a header-file?,"To store a class interface, including data members and member function prototypes.",2.5,[31],“Instruct�? the compiler on how to interface with library and user-written components.
What is the role of a header-file?,"To store a class interface, including data members and member function prototypes.",3,[12],create a comon area to contain reusable functions.
What is the role of a header-file?,"To store a class interface, including data members and member function prototypes.",3,[21],to declare the functions being used in the classes
What is the role of a header-file?,"To store a class interface, including data members and member function prototypes.",1.5,[13],"#include ""hat.h""  allows the use of the hat container, so called from the act of pulling names from a hat.  The header file for hat includes functions for storage and retrieval of it's contents, mainly put(), peek(), and pull()."
What is the role of a header-file?,"To store a class interface, including data members and member function prototypes.",4,[11],To hold reusable content or modules separate from the actual  source-code file that can be easily referenced and employed for different programs.
What is the role of a header-file?,"To store a class interface, including data members and member function prototypes.",5,[17],a header file is a file used to store a list of prototye functions and data members.
What is the role of a header-file?,"To store a class interface, including data members and member function prototypes.",3.5,[7],"A header file is a cross communication method between source files, to help limit the size of each individual program. Without header files a program will be 1 large lump of code and thus fairly hard to debug and traverse."
What is the role of a header-file?,"To store a class interface, including data members and member function prototypes.",3,[10],It contains reusable source code for use by other classes.
What is the role of a header-file?,"To store a class interface, including data members and member function prototypes.",3.5,[27],"to separate the source code from the main function, allows the methods/classes to be included in the program without direct coding. allows re usability."
What is the role of a header-file?,"To store a class interface, including data members and member function prototypes.",2.5,[25],Header files have reusable source code in a file that a programer can use. 
What is the role of a header-file?,"To store a class interface, including data members and member function prototypes.",3.5,[20],To hide the definition and details of a class.  Also to help readability of the main C++ file.
What is the role of a header-file?,"To store a class interface, including data members and member function prototypes.",3.5,[18],To allow the compiler to recognize the classes when used elsewhere.
What is the role of a header-file?,"To store a class interface, including data members and member function prototypes.",4,[19],"A header file declares a class, its data, and functions available through that class."
What is the role of a header-file?,"To store a class interface, including data members and member function prototypes.",3,[30],header files contain code which can be used in multiple files
What is the role of a header-file?,"To store a class interface, including data members and member function prototypes.",3,[16],Allow compiler to recognize the classes when used elsewhere
What is the role of a header-file?,"To store a class interface, including data members and member function prototypes.",3.5,[26],Allow compiler to recognize the classes when used elsewhere<br>
What is the role of a header-file?,"To store a class interface, including data members and member function prototypes.",3,[1],To promote function reusuablitly
What is the role of a header-file?,"To store a class interface, including data members and member function prototypes.",3,[28],class definitions are placed here
What is the role of a header-file?,"To store a class interface, including data members and member function prototypes.",4.5,[15],A header file usually contains class and/or function prototypes.
What is the role of a header-file?,"To store a class interface, including data members and member function prototypes.",1,[14],contains all the standard C++ library's i.e. string 
What is the role of a prototype program in problem solving?,To simulate the behaviour of portions of the desired software product. ,3.5,[6],High risk problems are address in the prototype program to make sure that the program is feasible.  A prototype may also be used to show a company that the software can be possibly programmed.<br><br>
What is the role of a prototype program in problem solving?,To simulate the behaviour of portions of the desired software product. ,5,[5],To simulate portions of the desired final product with a quick and easy program that does a small specific job. It is a way to help see what the problem is and how you may solve it in the final project.
What is the role of a prototype program in problem solving?,To simulate the behaviour of portions of the desired software product. ,4,[8],A prototype program simulates the behaviors of portions of the desired software product to allow for error checking.
What is the role of a prototype program in problem solving?,To simulate the behaviour of portions of the desired software product. ,5,[3],"Defined in the Specification phase a prototype stimulates the behavior of portions of the desired software product.  Meaning, the role of a prototype is a temporary solution until the program itself is refined to be used extensively in problem solving."
What is the role of a prototype program in problem solving?,To simulate the behaviour of portions of the desired software product. ,3,[4],It is used to let the users have a first idea of the completed program and allow the clients to evaluate the program. This can generate much feedback including software specifications and project estimations of the total project.
What is the role of a prototype program in problem solving?,To simulate the behaviour of portions of the desired software product. ,2,[24],To find problem and errors in a program before it is finalized
What is the role of a prototype program in problem solving?,To simulate the behaviour of portions of the desired software product. ,2.5,[9],"To address major issues in the creation of the program. There is no way to account for all possible bugs in the program, but it is possible to prove the program is tangible. "
What is the role of a prototype program in problem solving?,To simulate the behaviour of portions of the desired software product. ,5,[22],you can break the whole program into prototype programs to simulate parts of the final program
What is the role of a prototype program in problem solving?,To simulate the behaviour of portions of the desired software product. ,3.5,[23],#NAME?
What is the role of a prototype program in problem solving?,To simulate the behaviour of portions of the desired software product. ,5,[2],Simulating the behavior of only a portion of the desired software product.
What is the role of a prototype program in problem solving?,To simulate the behaviour of portions of the desired software product. ,5,[29],  A program that stimulates the behavior of portions of the desired software product.
What is the role of a prototype program in problem solving?,To simulate the behaviour of portions of the desired software product. ,5,[31],A program that simulates the behavior of portions of the desired software product.
What is the role of a prototype program in problem solving?,To simulate the behaviour of portions of the desired software product. ,2,[12],To lay out the basics and give you a starting point in the actual problem solving.
What is the role of a prototype program in problem solving?,To simulate the behaviour of portions of the desired software product. ,4.5,[21],To simulate problem solving for parts of the problem
What is the role of a prototype program in problem solving?,To simulate the behaviour of portions of the desired software product. ,2,[13],A prototype program provides a basic groundwork from which to further enhance and improve a solution to a problem.
What is the role of a prototype program in problem solving?,To simulate the behaviour of portions of the desired software product. ,4.5,[11],"A prototype program is a part of the Specification phase of Software Problem Solvin.  It's employed to illustrate how the key problem or problems will be solved in a program, and sometimes serves as a base program to expand upon."
What is the role of a prototype program in problem solving?,To simulate the behaviour of portions of the desired software product. ,5,[17],Program that simulates the behavior of portions of the desired software product
What is the role of a prototype program in problem solving?,To simulate the behaviour of portions of the desired software product. ,2,[7],it provides a limited proof of concept to verify with the client before actually programming the whole application.<br>
What is the role of a prototype program in problem solving?,To simulate the behaviour of portions of the desired software product. ,2,[10],It tests the main function of the program while leaving out the finer details.<br>
What is the role of a prototype program in problem solving?,To simulate the behaviour of portions of the desired software product. ,2.5,[27],To get early feedback from users in early stages of development.  To show users a first idea of what the program will do/look like.  To make sure the program will meet requirements before intense programming begins.
What is the role of a prototype program in problem solving?,To simulate the behaviour of portions of the desired software product. ,5,[20],it simulates the behavior of portions of the desired software product
What is the role of a prototype program in problem solving?,To simulate the behaviour of portions of the desired software product. ,5,[18],It simulates the behavior of portions of the desired software product.
What is the role of a prototype program in problem solving?,To simulate the behaviour of portions of the desired software product. ,1.5,[19],A prototype program is used in problem solving to collect data for the problem.
What is the role of a prototype program in problem solving?,To simulate the behaviour of portions of the desired software product. ,2.5,[16],To ease the understanding of problem under discussion and to ease the understanding of the program itself
What is the role of a prototype program in problem solving?,To simulate the behaviour of portions of the desired software product. ,5,[26],it simulates the behavior of portions of the desired software product
What is the role of a prototype program in problem solving?,To simulate the behaviour of portions of the desired software product. ,2,[1],The role of a prototype program is to help spot key problems that may arise during the actual programing. 
What is the role of a prototype program in problem solving?,To simulate the behaviour of portions of the desired software product. ,3,[28],"the prototype program gives a general idea of what the end product will do, <br><br>without the time and effort to write out the entire program."
What is the role of a prototype program in problem solving?,To simulate the behaviour of portions of the desired software product. ,3,[15],to show that a certain part of the program works as it is supposed to
What is the role of a prototype program in problem solving?,To simulate the behaviour of portions of the desired software product. ,2.5,[14],"Prototype programming is an approach to programming that enables one to take an organized approach to developing an effective program with minimal errors and a strategic pattern when solving a problem. i.e. book gave an example of a costumer withdrawing money from a bank, the approach that was taking on a pseudo code level during the OOA/Design lvl before proceeding into creating a solution. "
What stages in the software life cycle are influenced by the testing stage?,The testing stage can influence both the coding stage (phase 5) and the solution refinement stage (phase 7) ,3.5,[6],Refining and possibly the design if the testing phase reveals problems in the design. Production can be affected if the program is unworkable in its current form which will lead to a later production time than originally estimated. Also affects coding because after testing you may need to rewrite the code for the program to remove errors.
What stages in the software life cycle are influenced by the testing stage?,The testing stage can influence both the coding stage (phase 5) and the solution refinement stage (phase 7) ,4,[5],The implementation phase and the maintenance phase are effected
What stages in the software life cycle are influenced by the testing stage?,The testing stage can influence both the coding stage (phase 5) and the solution refinement stage (phase 7) ,4.5,[8],"Verification, coding, refining the solution and maintenance are all influenced by the testing stage."
What stages in the software life cycle are influenced by the testing stage?,The testing stage can influence both the coding stage (phase 5) and the solution refinement stage (phase 7) ,3,[3],"In RUP the stages in the software life cycle are influenced by the testing stage is:<br><br>Elaboration phase- refined progject vision, iterative devilopment of core system, development of system requirements, more accurate time and cost estimates.<br><br>Construction phase- iterative development of remaining system.<br><br>Transition phase-testing and deployment of the system."
What stages in the software life cycle are influenced by the testing stage?,The testing stage can influence both the coding stage (phase 5) and the solution refinement stage (phase 7) ,3,[4],"Refining the solution, Production and Maintenance are all influenced by the Testing stage. "
What stages in the software life cycle are influenced by the testing stage?,The testing stage can influence both the coding stage (phase 5) and the solution refinement stage (phase 7) ,2,[24],"Elaboration, Construction, and Transition are all affected by testing"
What stages in the software life cycle are influenced by the testing stage?,The testing stage can influence both the coding stage (phase 5) and the solution refinement stage (phase 7) ,3.5,[9],"Refining, Production, Maintenance"
What stages in the software life cycle are influenced by the testing stage?,The testing stage can influence both the coding stage (phase 5) and the solution refinement stage (phase 7) ,4,[22],Refining the solution
What stages in the software life cycle are influenced by the testing stage?,The testing stage can influence both the coding stage (phase 5) and the solution refinement stage (phase 7) ,2,[23],#NAME?
What stages in the software life cycle are influenced by the testing stage?,The testing stage can influence both the coding stage (phase 5) and the solution refinement stage (phase 7) ,5,[2],Refining and Coding
What stages in the software life cycle are influenced by the testing stage?,The testing stage can influence both the coding stage (phase 5) and the solution refinement stage (phase 7) ,2.5,[29],"The second half of the Elaboration phase, Construction phase, and the Transition phase.<br>"
What stages in the software life cycle are influenced by the testing stage?,The testing stage can influence both the coding stage (phase 5) and the solution refinement stage (phase 7) ,3.5,[31],"The refining step, the production step, and the maintenance stage.<br> "
What stages in the software life cycle are influenced by the testing stage?,The testing stage can influence both the coding stage (phase 5) and the solution refinement stage (phase 7) ,2,[12],"Elaboration, Construction, Transition"
What stages in the software life cycle are influenced by the testing stage?,The testing stage can influence both the coding stage (phase 5) and the solution refinement stage (phase 7) ,3,[21],Refining.
What stages in the software life cycle are influenced by the testing stage?,The testing stage can influence both the coding stage (phase 5) and the solution refinement stage (phase 7) ,1.5,[13],"The testing stage has a direct influence on the final version of a program, being as it is the debugging and finalization of a software revision."
What stages in the software life cycle are influenced by the testing stage?,The testing stage can influence both the coding stage (phase 5) and the solution refinement stage (phase 7) ,5,[11],"Directly: Refining, coding.  Because Refining is right before the Testing Phase and Coding is right after the Testing Phase.<br><br>Indirectly: Production, Maintenance.  Because Refining occurs before these last two stages in the Software Life Cycle."
What stages in the software life cycle are influenced by the testing stage?,The testing stage can influence both the coding stage (phase 5) and the solution refinement stage (phase 7) ,3.5,[17],"Testing, refining, production, and maintenance."
What stages in the software life cycle are influenced by the testing stage?,The testing stage can influence both the coding stage (phase 5) and the solution refinement stage (phase 7) ,1.5,[7],"Depending on how the work is done, Testing is spread throughout the <br>process as to prevent errors from showing up later on due to lack of<br>foresight.<br>"
What stages in the software life cycle are influenced by the testing stage?,The testing stage can influence both the coding stage (phase 5) and the solution refinement stage (phase 7) ,2.5,[10],"Elaboration, construction, and transition."
What stages in the software life cycle are influenced by the testing stage?,The testing stage can influence both the coding stage (phase 5) and the solution refinement stage (phase 7) ,1.5,[27],"All stages are influenced except setting the program requirements.  If a test fails, it can change the whole design, implementation, etc of a program as well as the final outcome."
What stages in the software life cycle are influenced by the testing stage?,The testing stage can influence both the coding stage (phase 5) and the solution refinement stage (phase 7) ,3,[20],"Refining, production, and maintenance"
What stages in the software life cycle are influenced by the testing stage?,The testing stage can influence both the coding stage (phase 5) and the solution refinement stage (phase 7) ,5,[18],coding and refining
What stages in the software life cycle are influenced by the testing stage?,The testing stage can influence both the coding stage (phase 5) and the solution refinement stage (phase 7) ,3.5,[19],"refining, production, maintenance."
What stages in the software life cycle are influenced by the testing stage?,The testing stage can influence both the coding stage (phase 5) and the solution refinement stage (phase 7) ,1,[16],"Removing logical errors, testing for valid data, random data and actual data."
What stages in the software life cycle are influenced by the testing stage?,The testing stage can influence both the coding stage (phase 5) and the solution refinement stage (phase 7) ,2.5,[26],1- specification<br>2- design<br>3- risk analysis<br>4- verification<br>5- coding<br>6- testing<br>7- refining<br>8- production<br>9- maintenance
What stages in the software life cycle are influenced by the testing stage?,The testing stage can influence both the coding stage (phase 5) and the solution refinement stage (phase 7) ,3.5,[1],"Refining stage, Production stage, and Maintenance stage.<br><br>"
What stages in the software life cycle are influenced by the testing stage?,The testing stage can influence both the coding stage (phase 5) and the solution refinement stage (phase 7) ,2,[28],Testing could affect all parts of the life cycle; it could make you go back <br><br>to specification if it does not test well.
What stages in the software life cycle are influenced by the testing stage?,The testing stage can influence both the coding stage (phase 5) and the solution refinement stage (phase 7) ,3,[15],coding
What stages in the software life cycle are influenced by the testing stage?,The testing stage can influence both the coding stage (phase 5) and the solution refinement stage (phase 7) ,1.5,[14],"The Individual components and steps such as  analysis, design, and implementing code  as well as the entire system are tested for execution of the requirements identified during the analysis stage. i.e. Main output "
What are the main advantages associated with object-oriented programming?,Abstraction and reusability.,4.5,[6],"Modularability, the ability to reuse parts of the program later in another program sometimes with completely different goals for the program. Also it makes it easier to debug code by dividing up the code into classes that each do a specific job and when the program fails at one job you only have one class to debug. Good for security purposes because it allows you to let someone use a program which sorts lists without having to give them access to the source code. ALso allows you to use inheritance and polymorphism."
What are the main advantages associated with object-oriented programming?,Abstraction and reusability.,5,[5],"This type of programming is more flexible, making it easier to add and modify the program.  It is also a type of a fail safe program, you check each individual module.  This eliminates redundant code and makes the program easier to read for other programmers.  When debugging the program it is easier to track down the source of a problem within a module rather than a 2 million line program."
What are the main advantages associated with object-oriented programming?,Abstraction and reusability.,3.5,[8],The main advantages to object-oriented programming are that existing classes can be reused and program maintenance and verification are easier.<br>
What are the main advantages associated with object-oriented programming?,Abstraction and reusability.,2.5,[3],The advantages is that OOP allows us to build classes of objects.  Three principles that make up OOP are:<br><br>Encapsulation- Objects combine data and operations.<br><br>Inheritance- Classes can inherit properties from other classes.<br><br>Polymorphism- Objects can determine appropriate operations at execution time.
What are the main advantages associated with object-oriented programming?,Abstraction and reusability.,3.5,[4],Some advantages are existing classes can be reused and program maintenance and verification are easier to accomplish.
What are the main advantages associated with object-oriented programming?,Abstraction and reusability.,1,[24],Object oriented programming allows programmers to use an object with classes that can be changed and manipulated while not affecting the entire object at once. The classes all hold attrubutes that affect the object.
What are the main advantages associated with object-oriented programming?,Abstraction and reusability.,4,[9],"Reusable components, Extensibility, Maintainability, it reduces large problems into smaller more manageable problems."
What are the main advantages associated with object-oriented programming?,Abstraction and reusability.,2.5,[22],Encapsulation-objects combine data and operations<br>Inheritance- classes can inherit properties from other classes<br>Polymorphism- Objects can determine appropriate operations at execution time
What are the main advantages associated with object-oriented programming?,Abstraction and reusability.,3,[23], -Easier to debugg<br>  -Reusability
What are the main advantages associated with object-oriented programming?,Abstraction and reusability.,4,[2],Re-usability  and ease of maintenance
What are the main advantages associated with object-oriented programming?,Abstraction and reusability.,5,[29],"  One of the main advantages is you can hide inner details a technique known by encapsulation. Objects combine the data and operations but you cannot see how it works.<br>  Another advantage is you can reuse classes that have been defined earlier in the program, a method known as inheritance.<br>  Finally another advantage is objects can determine appropriate operations at execution time a technique known as polymorphism.<br>"
What are the main advantages associated with object-oriented programming?,Abstraction and reusability.,3.5,[31],"Existing classes can be reused, and program maintenance and verification are easier."
What are the main advantages associated with object-oriented programming?,Abstraction and reusability.,2,[12],Using different modules allows for easier debugging
What are the main advantages associated with object-oriented programming?,Abstraction and reusability.,3.5,[21],"Data encapsulation concept,the use of functions or methods to manipulate data."
What are the main advantages associated with object-oriented programming?,Abstraction and reusability.,4.5,[13],"Modular, reusable code, allowing faster deployment of solutions, and a more general view of a solution."
What are the main advantages associated with object-oriented programming?,Abstraction and reusability.,5,[11],"Coding and Debugging programs are usually easier, as either the compiler will specify the object that is working incorrectly, or the function an object was assigned to will be easier to identify.  The code itself also looks more organized and is easier to read and will help to avoid redundant coding.  Post-programming maintenance is also easier.<br><br>Also, modules can be reused several times in other programs without too much hassle.   Abstraction is the art of breaking down one big problem into smaller, simpler problems and solving them.  Many of the smaller problems are shared between unique complex problems, and creating modules to these solve these smaller repeated problems can save time when you encounter them again."
What are the main advantages associated with object-oriented programming?,Abstraction and reusability.,4.5,[17],"Variables can remain private. The code is easily modified and reusable, as well as easily implemented. Not to mention easier to read and follow along as an observer."
What are the main advantages associated with object-oriented programming?,Abstraction and reusability.,3.5,[7],Data Abstraction and control... it is possible to isolate elements<br>from other elements a lot easier and prevent tampering of data.<br>
What are the main advantages associated with object-oriented programming?,Abstraction and reusability.,4,[10],Encapsulation - Objects use operations without knowing how the operation works.<br>Inheritance - cuts redundancy by reusing earlier classes.<br>Polymorphism - objects select the correct operation to use in the situation.
What are the main advantages associated with object-oriented programming?,Abstraction and reusability.,4.5,[27],"They make it easier to reuse and adapt previously written code and they separate complex programs into smaller, easier to understand classes."
What are the main advantages associated with object-oriented programming?,Abstraction and reusability.,3.5,[20],"Existing classes can be reused, Program maintenance and verification are easier<br>"
What are the main advantages associated with object-oriented programming?,Abstraction and reusability.,3.5,[18],"Existing classes can be feused, Program maintenance and verification are easier"
What are the main advantages associated with object-oriented programming?,Abstraction and reusability.,5,[19],"the main advantages to object-oriented programming  is data abstraction, easier maintenance, and re-usability."
What are the main advantages associated with object-oriented programming?,Abstraction and reusability.,4,[16],Existing classes can be reused<br>Program maintenance and verifications are easy
What are the main advantages associated with object-oriented programming?,Abstraction and reusability.,3.5,[26],1- Existing classes can be reused<br>2- Program maintenance and verification are easier <br>
What are the main advantages associated with object-oriented programming?,Abstraction and reusability.,3.5,[1],Information can be hidden. It is easier to debug. Programming is easier and more manageable. 
What are the main advantages associated with object-oriented programming?,Abstraction and reusability.,3.5,[28],"Existing classes can be reused, program maintenance and verification are <br><br>easier."
What are the main advantages associated with object-oriented programming?,Abstraction and reusability.,3.5,[15],existing classes can be reused<br>program maintenance and verification are easier
What are the main advantages associated with object-oriented programming?,Abstraction and reusability.,3.5,[14],"Well for one encapsulation the values of the variables inside an object are private, unless methods are written to pass info outside of the object. As well as Inheritance where each subclass inherits all variables and methods of its super class.  Example in the book included obj clock and how obj alarm would still use clock from the first class. "
Where do C++ programs begin to execute?,At the main function.,5,[6],At function ‘int main ()’
Where do C++ programs begin to execute?,At the main function.,5,[5],the Function main().
Where do C++ programs begin to execute?,At the main function.,5,[8],c++ programs begin to execute in the main method.
Where do C++ programs begin to execute?,At the main function.,5,[3],A C++ program will begin to execute at the main() function.<br>
Where do C++ programs begin to execute?,At the main function.,5,[4],They begin in the main() function.
Where do C++ programs begin to execute?,At the main function.,5,[24],Int main()
Where do C++ programs begin to execute?,At the main function.,5,[9],main method
Where do C++ programs begin to execute?,At the main function.,0,[22],in the testing phase
Where do C++ programs begin to execute?,At the main function.,5,[23],#NAME?
Where do C++ programs begin to execute?,At the main function.,5,[2],main
Where do C++ programs begin to execute?,At the main function.,5,[29], They begin to execute at the funcion main().
Where do C++ programs begin to execute?,At the main function.,5,[31],The main method.
Where do C++ programs begin to execute?,At the main function.,2.5,[12],At the root
Where do C++ programs begin to execute?,At the main function.,5,[21],In the main() function.
Where do C++ programs begin to execute?,At the main function.,5,[13],C++ programs begin execution at main.
Where do C++ programs begin to execute?,At the main function.,5,[11],In the Main function..?
Where do C++ programs begin to execute?,At the main function.,5,[17],"At the ""main()"" function"
Where do C++ programs begin to execute?,At the main function.,5,[7],The main function.
Where do C++ programs begin to execute?,At the main function.,5,[10],The function main
Where do C++ programs begin to execute?,At the main function.,5,[27],"After loading the required include statements and libraries, the main method begins the execution."
Where do C++ programs begin to execute?,At the main function.,5,[20],main function
Where do C++ programs begin to execute?,At the main function.,5,[18],main
Where do C++ programs begin to execute?,At the main function.,5,[19],C++ programs begin execution at the main function.
Where do C++ programs begin to execute?,At the main function.,5,[16],At main
Where do C++ programs begin to execute?,At the main function.,5,[26],they beging to excute at main
Where do C++ programs begin to execute?,At the main function.,5,[1],at the main function<br><br>int main() {}
Where do C++ programs begin to execute?,At the main function.,5,[28],C++ programs begin execution at the main function.
Where do C++ programs begin to execute?,At the main function.,5,[15],"in the ""main"" function"
Where do C++ programs begin to execute?,At the main function.,5,[14],Within the main function
What is a variable?,A location in memory that can store a value.,2,[6],Variable can be a integer or a string in a program.
What is a variable?,A location in memory that can store a value.,4.5,[5],"In programming, a structure that holds data and is uniquely named by the programmer. It holds the data assigned to it until a new value is assigned or the program is finished.<br>"
What is a variable?,A location in memory that can store a value.,5,[8],A variable is a location in memory where a value can be stored.
What is a variable?,A location in memory that can store a value.,5,[3]," Variable is a location in the computer's memory, in which a value can be stored and later can retrieve that value."
What is a variable?,A location in memory that can store a value.,5,[4],"A variable is a location in the computer's memory where a value can be stored for use by a program. Each variable has a name, a value, a type and a size."
What is a variable?,A location in memory that can store a value.,3.5,[24],A named object that can hold a numerical or letter value
What is a variable?,A location in memory that can store a value.,4,[9],"It's a sybol or name for a value/number. Example: 'a_used_number' can stand for any given number, and the programmer can refer to that number by using the variable name."
What is a variable?,A location in memory that can store a value.,5,[22],A variable is a location in the computers memory where a value can be stored for use by a program
What is a variable?,A location in memory that can store a value.,4,[23], -An identifier that holds a location in memory.
What is a variable?,A location in memory that can store a value.,5,[2],a block of memory that holds a specific type of data
What is a variable?,A location in memory that can store a value.,5,[29],  It is a location in the computer's memory where it can be stored for use by a program.
What is a variable?,A location in memory that can store a value.,5,[31],A location in memory where value can be stored.
What is a variable?,A location in memory that can store a value.,3,[12],a value/word that can assume any of a set of values
What is a variable?,A location in memory that can store a value.,4,[21],A pointer to a location in memory.
What is a variable?,A location in memory that can store a value.,5,[13],"A variable is the memory address for a specific type of stored data, or from a mathematical perspective, a symbol representing a fixed definition with changing values."
What is a variable?,A location in memory that can store a value.,5,[11],A variable is a value that is subject to change in a computer's memory that can be used by programs.  Programs can change the value of the variable and recall it later or act on it directly.
What is a variable?,A location in memory that can store a value.,4,[17],a symbol that stands in for a value that may or may not change depending on the program. 
What is a variable?,A location in memory that can store a value.,4.5,[7],"a placeholder to hold information used in the program...<br>for example:<br>int can hold: 1, 2, 3, 4, 68, 72, 256, etc.<br>float can hold: 1.54, 55.55, 1.24, 5.657, 8.8123, et.<br>char can hold: A, B, C, D, E, F, !, 4, 5, 6, P, etc.<br>"
What is a variable?,A location in memory that can store a value.,4.5,[10],a stored value used by the program
What is a variable?,A location in memory that can store a value.,4.5,[27],"A way to store different values into the program, such as numbers, words, letters, etc."
What is a variable?,A location in memory that can store a value.,3.5,[20],An object with a location in memory where value can be stored<br>
What is a variable?,A location in memory that can store a value.,5,[18],location in memory where a value can be stored
What is a variable?,A location in memory that can store a value.,3.5,[19],a variable is an object where data is stored.
What is a variable?,A location in memory that can store a value.,5,[16],Location in memory where a value can be stored.
What is a variable?,A location in memory that can store a value.,5,[26],it is a location in memory where value can be stored<br>
What is a variable?,A location in memory that can store a value.,5,[1],A variable is the location in a computer's memory where a value can be stored for use by a program.
What is a variable?,A location in memory that can store a value.,5,[28],A variable is a location in a computers memory where a value can be stored <br><br>for use by a program.
